,C1_lm,a_gamma_lm,b_gamma_lm,coef_flow,beta,const_flow,stage_flow,std_lm,met_input
183,29747098.302,1.000,37.013,-6384.494,1.190,-38153.556,15.500,109339.857,Rch_000
184,29747098.302,1.000,37.013,-6384.494,1.190,-38153.556,15.500,110248.498,Rch_000
185,29747098.302,1.000,37.013,-6384.494,1.190,-38153.556,15.500,107830.615,Rch_000
186,29747098.302,1.000,37.225,-6384.494,1.190,-38153.556,15.500,107830.615,Rch_000
187,29747098.302,1.000,37.225,-6384.494,1.190,-38153.556,15.500,107452.538,Rch_000
188,29747098.302,1.000,37.225,-6418.404,1.190,-38153.556,15.500,107452.538,Rch_000
189,29747098.302,1.000,37.225,-6418.404,1.190,-38153.556,15.500,115041.255,Rch_000
190,29747098.302,1.000,36.855,-6418.404,1.190,-38153.556,15.500,115041.255,Rch_000
191,29747098.302,1.000,36.855,-6418.404,1.190,-38153.556,15.500,115041.255,Rch_000
192,29722991.889,1.000,36.855,-6418.404,1.190,-38153.556,15.500,115041.255,Rch_000
193,29801260.962,1.000,36.855,-6418.404,1.190,-38153.556,15.500,115041.255,Rch_000
194,29801260.962,1.000,36.855,-6418.404,1.190,-38153.556,15.500,108439.011,Rch_000
195,29801260.962,1.000,36.855,-6434.917,1.190,-38153.556,15.500,108439.011,Rch_000
196,29801260.962,1.000,36.822,-6434.917,1.190,-38153.556,15.500,108439.011,Rch_000
197,29801260.962,1.000,36.822,-6434.917,1.189,-38153.556,15.500,108439.011,Rch_000
198,29801260.962,1.000,36.720,-6434.917,1.189,-38153.556,15.500,108439.011,Rch_000
199,29801260.962,1.000,36.720,-6442.589,1.189,-38153.556,15.500,108439.011,Rch_000
200,29725329.596,1.000,36.720,-6442.589,1.189,-38153.556,15.500,108439.011,Rch_000
201,29725329.596,1.000,36.720,-6442.589,1.189,-38153.556,15.500,111733.508,Rch_000
202,29725329.596,1.000,36.894,-6442.589,1.189,-38153.556,15.500,111733.508,Rch_000
203,29725329.596,1.000,36.894,-6442.589,1.189,-38153.556,15.500,108245.696,Rch_000
204,29725329.596,1.000,36.894,-6442.589,1.186,-38153.556,15.500,108245.696,Rch_000
205,29725329.596,1.000,37.130,-6442.589,1.186,-38153.556,15.500,108245.696,Rch_000
206,29725329.596,1.000,37.474,-6442.589,1.186,-38153.556,15.500,108245.696,Rch_000
207,29725329.596,1.000,37.230,-6442.589,1.186,-38153.556,15.500,108245.696,Rch_000
208,29725329.596,1.000,36.578,-6442.589,1.186,-38153.556,15.500,108245.696,Rch_000
209,29725329.596,1.000,36.578,-6440.080,1.186,-38153.556,15.500,108245.696,Rch_000
210,29725329.596,1.000,36.986,-6440.080,1.186,-38153.556,15.500,108245.696,Rch_000
211,29725329.596,1.000,36.986,-6440.080,1.187,-38153.556,15.500,108245.696,Rch_000
212,29725329.596,1.000,36.335,-6440.080,1.187,-38153.556,15.500,108245.696,Rch_000
213,29725329.596,1.000,36.335,-6452.146,1.187,-38153.556,15.500,108245.696,Rch_000
214,29777889.751,1.000,36.335,-6452.146,1.187,-38153.556,15.500,108245.696,Rch_000
215,29777889.751,1.000,36.335,-6452.146,1.187,-38153.556,15.500,113496.548,Rch_000
216,29710235.263,1.000,36.335,-6452.146,1.187,-38153.556,15.500,113496.548,Rch_000
217,29710235.263,1.000,36.124,-6452.146,1.187,-38153.556,15.500,113496.548,Rch_000
218,29710235.263,1.000,36.124,-6452.146,1.187,-38153.556,15.500,110246.988,Rch_000
219,29710235.263,1.000,36.698,-6452.146,1.187,-38153.556,15.500,110246.988,Rch_000
220,29710235.263,1.000,36.698,-6423.973,1.187,-38153.556,15.500,110246.988,Rch_000
221,29710235.263,1.000,37.381,-6423.973,1.187,-38153.556,15.500,110246.988,Rch_000
222,29710235.263,1.000,37.381,-6393.916,1.187,-38153.556,15.500,110246.988,Rch_000
223,29710235.263,1.000,37.381,-6393.916,1.187,-38153.556,15.500,110271.533,Rch_000
224,29710235.263,1.000,37.430,-6393.916,1.187,-38153.556,15.500,110271.533,Rch_000
225,29710235.263,1.000,37.430,-6393.916,1.187,-38153.556,15.500,113702.400,Rch_000
226,29710235.263,1.000,37.036,-6393.916,1.187,-38153.556,15.500,113702.400,Rch_000
227,29710235.263,1.000,37.036,-6393.916,1.192,-38153.556,15.500,113702.400,Rch_000
228,29710235.263,1.000,37.036,-6393.916,1.192,-38153.556,15.500,118435.311,Rch_000
229,29710235.263,1.000,37.036,-6382.258,1.192,-38153.556,15.500,118435.311,Rch_000
230,29710235.263,1.000,37.036,-6382.258,1.192,-38153.556,15.500,111260.160,Rch_000
231,29710235.263,1.000,37.329,-6382.258,1.192,-38153.556,15.500,111260.160,Rch_000
232,29710235.263,1.000,37.329,-6382.258,1.192,-38153.556,15.500,104360.455,Rch_000
233,29710235.263,1.000,37.329,-6382.258,1.192,-38153.556,15.500,109490.799,Rch_000
234,29710235.263,1.000,37.329,-6381.173,1.192,-38153.556,15.500,109490.799,Rch_000
235,29710235.263,1.000,37.329,-6341.679,1.192,-38153.556,15.500,109490.799,Rch_000
236,29710235.263,1.000,37.329,-6341.679,1.192,-38304.339,15.500,109490.799,Rch_000
237,29710235.263,1.000,37.329,-6341.679,1.193,-38304.339,15.500,109490.799,Rch_000
238,29710235.263,1.000,37.329,-6341.679,1.193,-38304.339,15.500,107402.495,Rch_000
239,29710235.263,1.000,37.329,-6341.679,1.192,-38304.339,15.500,107402.495,Rch_000
240,29710235.263,1.000,36.732,-6341.679,1.192,-38304.339,15.500,107402.495,Rch_000
241,29710235.263,1.000,36.732,-6341.679,1.192,-38304.339,15.500,104637.501,Rch_000
242,29768020.260,1.000,36.732,-6341.679,1.192,-38304.339,15.500,104637.501,Rch_000
243,29768020.260,1.000,36.732,-6341.679,1.192,-38304.339,15.500,113419.687,Rch_000
244,29768020.260,1.000,36.752,-6341.679,1.192,-38304.339,15.500,113419.687,Rch_000
245,29768020.260,1.000,36.752,-6341.679,1.192,-38304.339,15.500,106112.196,Rch_000
246,29684437.780,1.000,36.752,-6341.679,1.192,-38304.339,15.500,106112.196,Rch_000
247,29684437.780,1.000,36.193,-6341.679,1.192,-38304.339,15.500,106112.196,Rch_000
248,29684437.780,1.000,36.193,-6341.679,1.192,-38304.339,15.500,113309.650,Rch_000
249,29684437.780,1.000,36.193,-6341.679,1.192,-38478.796,15.500,113309.650,Rch_000
250,29684437.780,1.000,36.193,-6341.679,1.192,-38478.796,15.500,112063.893,Rch_000
251,29684437.780,1.000,36.450,-6341.679,1.192,-38478.796,15.500,112063.893,Rch_000
252,29684437.780,1.000,36.450,-6311.454,1.192,-38478.796,15.500,112063.893,Rch_000
253,29684437.780,1.000,36.450,-6311.454,1.192,-38478.796,15.500,110884.899,Rch_000
254,29684437.780,1.000,36.631,-6311.454,1.192,-38478.796,15.500,110884.899,Rch_000
