,0
399,-3397.6603245034694
400,-3399.615093410512
401,-3399.177628131254
402,-3399.213349710265
403,-3399.2096416919453
404,-3397.705243725919
405,-3397.7034307113963
406,-3397.687284744239
407,-3397.347666167816
408,-3397.2267028270435
409,-3397.284130450223
410,-3397.283978680847
411,-3397.283957138172
412,-3397.2599231641098
413,-3397.288465453101
414,-3398.644823042166
415,-3397.8882619731958
416,-3397.850598255978
417,-3397.293472440755
418,-3397.2953228300203
419,-3397.2934382252424
420,-3397.392342375266
421,-3397.745827241255
422,-3397.271563932022
423,-3397.9373752727906
424,-3397.9307574396175
425,-3398.465342837901
426,-3397.3626010091175
427,-3397.3558064257004
428,-3397.529662016646
429,-3397.484040118822
430,-3397.485770624994
431,-3397.812093795593
432,-3397.8121978037957
433,-3397.8118963380557
434,-3397.474096738706
435,-3397.5941555361114
436,-3397.5984890882482
437,-3397.6846799336854
438,-3397.6889059971554
439,-3397.4921602090326
440,-3397.4755039764495
441,-3397.690801384062
442,-3397.6838909010166
443,-3397.6887643765995
444,-3397.6528241709084
445,-3397.694872011938
446,-3397.6843323569783
447,-3397.6736397898076
448,-3397.6700350509273
449,-3398.2964610989557
450,-3398.295812499077
451,-3397.6584688318694
452,-3397.665248118822
453,-3397.654478741652
454,-3398.859966241788
455,-3398.8326022304354
456,-3398.519162164926
457,-3397.816461654581
458,-3397.816264264621
459,-3398.0509491206253
460,-3398.045999805067
461,-3398.2030569449507
462,-3398.191930788261
463,-3398.712809781656
464,-3397.4486568069715
465,-3397.4518697148023
466,-3399.8285571973806
467,-3401.9322487367613
468,-3401.9760977826822
469,-3401.933080295583
470,-3402.4741442006725
471,-3402.4234155304466
472,-3402.472531015838
473,-3402.850418947096
474,-3402.83999843958
475,-3403.143113550511
476,-3401.353290064508
477,-3401.3571920083405
478,-3402.499702971075
479,-3402.525748667981
480,-3402.5074807645483
481,-3400.3941916369977
482,-3400.389788153241
483,-3400.388564456176
484,-3401.2030098063583
485,-3400.9296205473647
486,-3401.1217152914087
487,-3400.842233490689
488,-3400.861047268372
489,-3401.522739667371
490,-3400.834274134057
491,-3400.73531175689
492,-3400.734260124979
493,-3401.9326342410204
494,-3401.94447611383
495,-3398.643749705972
496,-3398.471546347022
497,-3399.055474338006
498,-3399.0646500599228
499,-3399.076274864166
500,-3399.0733670351647
501,-3397.947212825178
502,-3399.7805362134704
503,-3399.8460989855384
504,-3401.1362546416767
505,-3401.150451096735
506,-3399.6740605984996
507,-3399.7365231753083
508,-3399.387584503277
509,-3397.9269465551515
510,-3397.932322405095
511,-3397.5043588527387
512,-3397.7021923513107
513,-3398.412179121854
514,-3398.4000580461698
515,-3398.381596387399
516,-3398.5214329008677
517,-3400.5930208729187
518,-3400.5859663402157
519,-3400.4446371184345
520,-3400.4459629593957
521,-3400.437607594543
522,-3400.4384388919793
523,-3400.4021385208334
524,-3400.4089397330317
525,-3400.3991673996425
526,-3399.5881754816583
527,-3397.658704292447
528,-3398.184669636603
529,-3400.444804284877
530,-3400.4254808902065
531,-3400.462127954507
532,-3399.71164267763
533,-3399.704910703022
534,-3398.174331420937
535,-3398.1877954694687
536,-3398.2646488126093
537,-3398.248502466375
538,-3397.860962376044
539,-3397.8539941605004
540,-3400.2696667411574
541,-3397.8263526410283
542,-3397.576541224279
543,-3397.409228683657
544,-3397.4548971566137
545,-3397.452952283053
546,-3397.4826205292657
547,-3397.4832309233143
548,-3397.483498182753
549,-3397.502383416294
550,-3397.5028340132358
551,-3397.5021935499417
552,-3397.5018420254246
553,-3397.5020189213383
554,-3397.448575818923
555,-3397.373383818479
556,-3397.3733089085617
557,-3397.372237427213
558,-3397.3696052838013
559,-3398.8662365781406
560,-3398.848502752271
561,-3398.791370952117
562,-3398.598245542925
563,-3398.5781127891414
564,-3398.677338870047
565,-3397.4067391142835
566,-3397.3934163604176
567,-3397.8329523704674
568,-3397.831480236588
569,-3397.8342171669665
570,-3397.9087115601806
571,-3397.5679294198903
572,-3398.2331733569317
573,-3399.02077645199
574,-3399.0364076843634
575,-3398.5012703119173
576,-3398.501737993346
577,-3398.031952020799
578,-3398.026833529806
579,-3397.9971922870855
580,-3397.991759287547
581,-3397.8592846360502
582,-3397.8871927565515
583,-3399.1489605894094
584,-3398.9209216309573
585,-3398.6368819576664
586,-3399.590728415845
587,-3399.6173598672067
588,-3399.834366362973
589,-3399.117872457499
590,-3399.6628589179836
591,-3399.6419247486465
592,-3399.6300240192422
593,-3401.007705920872
594,-3401.0026890120707
595,-3400.9686448504053
596,-3401.368918799103
597,-3399.1494277348957
598,-3398.36473180198
599,-3398.7167791858456
600,-3398.731629351199
601,-3398.7287179191776
602,-3398.755186225657
603,-3399.6299410218453
604,-3403.579104735013
605,-3403.670431174973
606,-3402.1936787919703
607,-3400.000863733595
608,-3399.795696523006
609,-3398.7445924837066
610,-3398.758325511356
611,-3400.5996290284797
612,-3400.604577946346
613,-3400.6097506267033
614,-3400.776363352233
615,-3400.765926766856
616,-3400.6613401879167
617,-3400.646969470745
618,-3400.6540818183657
619,-3401.045705765414
620,-3400.04056488661
621,-3400.7666637087013
622,-3398.3085462166255
623,-3398.0857132493857
624,-3398.0845206298877
625,-3398.0856125249725
626,-3398.0866472905
627,-3399.59752198015
628,-3399.614172364608
629,-3399.1341695207648
630,-3397.495219539085
631,-3397.498840202819
632,-3397.4984514256303
633,-3397.504036799834
634,-3397.5009602606324
635,-3397.504692860076
636,-3398.340666296129
637,-3398.8194294788864
638,-3398.8313972641395
639,-3398.818408451441
640,-3398.3962885091623
641,-3399.2962372121965
642,-3398.671760431259
643,-3398.726971133482
644,-3400.141713377248
645,-3400.116268842963
646,-3400.4980843985604
647,-3400.519925279972
648,-3399.9529529045376
649,-3399.9242979067776
650,-3400.181334518499
651,-3400.218123538113
652,-3399.591767131079
653,-3399.4560229735102
654,-3398.505345442571
655,-3398.4996544204064
656,-3397.887295125469
657,-3397.762223170568
658,-3398.023314894328
659,-3398.763895094872
660,-3399.3160677866586
661,-3398.1249627408865
662,-3398.110532172151
663,-3398.519302274334
664,-3399.872632507981
665,-3398.582906929787
666,-3397.9437714896267
667,-3397.9481051911143
668,-3397.3860328925766
669,-3397.800891506214
670,-3398.5190527619593
671,-3398.4776087226714
672,-3398.483973604011
673,-3398.4790086158405
674,-3398.5112210302364
675,-3398.938280540787
676,-3398.9408114463995
677,-3398.9390248403715
678,-3398.944398716384
679,-3398.9330371967076
680,-3399.001318642882
681,-3399.107495209675
682,-3399.1045431677658
683,-3401.0292812084917
684,-3401.0652418658888
685,-3400.6772822548082
686,-3403.1062470053566
687,-3403.1072520870334
688,-3398.899575885518
689,-3398.4775926646635
690,-3398.4740011311915
691,-3398.047470693042
692,-3397.594110633472
693,-3397.5917146821366
694,-3398.3796216922874
695,-3399.662555993871
696,-3399.616430680706
697,-3399.6408835511656
698,-3399.6303543252893
699,-3399.4507472256246
700,-3398.8027537365733
701,-3398.8013654517677
702,-3398.8067165335337
703,-3398.624715343438
704,-3398.6310356017493
705,-3398.2673141391397
706,-3398.2683509148046
707,-3398.274927596791
708,-3397.9400533288544
709,-3397.9234126103815
710,-3399.103072412733
711,-3398.694984117129
712,-3398.1976327189413
713,-3397.9982795595793
714,-3397.884736140074
715,-3397.886609925703
716,-3398.0113407953527
717,-3398.0150966135807
718,-3397.332050074103
719,-3397.3092461946653
720,-3397.3143754819384
721,-3397.3150524216494
722,-3397.310233198341
723,-3397.342874141351
724,-3397.344989049262
725,-3398.3138764142113
726,-3398.3204854554438
727,-3398.307381446565
728,-3397.451673205567
729,-3397.452587403196
730,-3397.451895287395
731,-3397.4520884154654
732,-3400.9835116094273
733,-3401.0019822356808
734,-3400.9988674211204
735,-3401.0907457564745
736,-3401.067221375874
737,-3401.0306542211824
738,-3397.7783104858554
739,-3397.762410801113
740,-3397.7863895166984
741,-3397.781605294984
742,-3397.876812017568
743,-3397.8811413144085
744,-3397.888328077158
745,-3399.4717391418876
746,-3398.77647245149
747,-3398.7699035325545
748,-3398.7831784328746
749,-3398.7997825853345
750,-3399.4074283877826
751,-3397.7191577971334
752,-3397.91366519615
753,-3398.507398418386
754,-3398.503870082329
755,-3398.484830958939
756,-3398.5087662096366
757,-3399.0743033916174
758,-3398.5084956287114
759,-3398.4980792063006
760,-3397.870194229601
761,-3397.8686999357883
762,-3398.293508620838
763,-3398.303630505999
