,C1_em,C0_em,a_gamma_em,b_gamma_em,std_em,met_input
139,1340297834.196,-3207670.873,1.929,41.332,103238.895,Rch_005
140,1340297834.196,-3207670.873,1.929,41.332,100475.189,Rch_005
141,1340297834.196,-3207670.873,1.948,41.332,100475.189,Rch_005
142,1340297834.196,-3207670.873,1.948,41.329,100475.189,Rch_005
143,1340297834.196,-3209915.517,1.948,41.329,100475.189,Rch_005
144,1340297834.196,-3209915.517,1.948,41.332,100475.189,Rch_005
145,1340297834.196,-3209915.517,1.948,41.332,103971.295,Rch_005
146,1339957296.265,-3209915.517,1.948,41.332,103971.295,Rch_005
147,1339957296.265,-3209915.517,1.948,41.332,103971.295,Rch_005
148,1339957296.265,-3209915.517,1.940,41.332,103971.295,Rch_005
149,1339957296.265,-3209915.517,1.940,41.333,103971.295,Rch_005
150,1337740926.762,-3209915.517,1.940,41.333,103971.295,Rch_005
151,1337740926.762,-3209915.517,1.940,41.333,103971.295,Rch_005
152,1337740926.762,-3187291.922,1.940,41.333,103971.295,Rch_005
153,1337740926.762,-3187291.922,1.925,41.333,103971.295,Rch_005
154,1337740926.762,-3187291.922,1.925,41.330,103971.295,Rch_005
155,1330840712.522,-3187291.922,1.925,41.330,103971.295,Rch_005
156,1330840712.522,-3187291.922,1.925,41.330,99709.903,Rch_005
157,1330840712.522,-3187291.922,1.925,41.330,100904.777,Rch_005
158,1337345400.136,-3187291.922,1.925,41.330,100904.777,Rch_005
159,1337345400.136,-3187291.922,1.925,41.333,100904.777,Rch_005
160,1331074313.010,-3187291.922,1.925,41.333,100904.777,Rch_005
161,1331074313.010,-3187291.922,1.925,41.328,100904.777,Rch_005
162,1331074313.010,-3187291.922,1.925,41.328,103978.284,Rch_005
163,1336249683.055,-3187291.922,1.925,41.328,103978.284,Rch_005
164,1336249683.055,-3187291.922,1.925,41.326,103978.284,Rch_005
165,1336249683.055,-3187291.922,1.938,41.326,103978.284,Rch_005
166,1336249683.055,-3187291.922,1.938,41.331,103978.284,Rch_005
167,1336249683.055,-3187291.922,1.938,41.331,98530.236,Rch_005
168,1336249683.055,-3187291.922,1.929,41.331,98530.236,Rch_005
169,1336249683.055,-3203736.049,1.929,41.331,98530.236,Rch_005
170,1336249683.055,-3203736.049,1.929,41.327,98530.236,Rch_005
171,1336249683.055,-3203736.049,1.920,41.327,98530.236,Rch_005
172,1335149279.865,-3203736.049,1.920,41.327,98530.236,Rch_005
173,1335149279.865,-3203736.049,1.920,41.330,98530.236,Rch_005
174,1335149279.865,-3203736.049,1.920,41.330,113260.839,Rch_005
175,1335149279.865,-3203736.049,1.920,41.334,113260.839,Rch_005
176,1335149279.865,-3203736.049,1.920,41.338,113260.839,Rch_005
177,1335149279.865,-3203736.049,1.920,41.333,113260.839,Rch_005
178,1336724581.800,-3203736.049,1.920,41.333,113260.839,Rch_005
179,1336724581.800,-3203736.049,1.920,41.332,113260.839,Rch_005
180,1336724581.800,-3203736.049,1.920,41.335,113260.839,Rch_005
181,1336724581.800,-3206545.228,1.920,41.335,113260.839,Rch_005
182,1340919691.990,-3206545.228,1.920,41.335,113260.839,Rch_005
183,1340919691.990,-3206545.228,1.920,41.333,113260.839,Rch_005
184,1340919691.990,-3206545.228,1.920,41.333,109348.409,Rch_005
185,1340919691.990,-3206545.228,1.920,41.336,109348.409,Rch_005
186,1340143171.361,-3206545.228,1.920,41.336,109348.409,Rch_005
187,1340143171.361,-3206545.228,1.920,41.339,109348.409,Rch_005
188,1338708736.917,-3206545.228,1.920,41.339,109348.409,Rch_005
189,1338708736.917,-3206545.228,1.920,41.344,109348.409,Rch_005
190,1338708736.917,-3202656.708,1.920,41.344,109348.409,Rch_005
191,1338708736.917,-3202656.708,1.919,41.344,109348.409,Rch_005
192,1338013707.093,-3202656.708,1.919,41.344,109348.409,Rch_005
193,1338013707.093,-3202656.708,1.920,41.344,109348.409,Rch_005
194,1337508376.506,-3202656.708,1.920,41.344,109348.409,Rch_005
195,1337508376.506,-3202656.708,1.936,41.344,109348.409,Rch_005
196,1337508376.506,-3186061.602,1.936,41.344,109348.409,Rch_005
197,1337508376.506,-3186061.602,1.936,41.340,109348.409,Rch_005
198,1337508376.506,-3186061.602,1.920,41.340,109348.409,Rch_005
199,1333830719.711,-3186061.602,1.920,41.340,109348.409,Rch_005
200,1333830719.711,-3186061.602,1.913,41.340,109348.409,Rch_005
201,1333830719.711,-3186061.602,1.913,41.338,109348.409,Rch_005
202,1333830719.711,-3186061.602,1.913,41.338,104019.287,Rch_005
203,1333830719.711,-3186061.602,1.913,41.341,104019.287,Rch_005
204,1332873481.780,-3186061.602,1.913,41.341,104019.287,Rch_005
205,1332873481.780,-3186061.602,1.913,41.341,105162.066,Rch_005
206,1332873481.780,-3186061.602,1.913,41.345,105162.066,Rch_005
207,1332873481.780,-3186061.602,1.920,41.345,105162.066,Rch_005
208,1334086651.871,-3186061.602,1.920,41.345,105162.066,Rch_005
209,1334086651.871,-3186061.602,1.942,41.345,105162.066,Rch_005
210,1334086651.871,-3186061.602,1.942,41.340,105162.066,Rch_005
211,1334086651.871,-3186061.602,1.942,41.340,102540.125,Rch_005
212,1334086651.871,-3186061.602,1.942,41.343,102540.125,Rch_005
213,1334086651.871,-3186061.602,1.922,41.343,102540.125,Rch_005
214,1334086651.871,-3186061.602,1.922,41.340,102540.125,Rch_005
215,1334086651.871,-3186061.602,1.922,41.339,102540.125,Rch_005
216,1334086651.871,-3186061.602,1.922,41.339,98113.106,Rch_005
217,1334086651.871,-3186061.602,1.922,41.339,94355.910,Rch_005
218,1334086651.871,-3186061.602,1.923,41.339,94355.910,Rch_005
219,1334086651.871,-3186061.602,1.935,41.339,94355.910,Rch_005
220,1334086651.871,-3186061.602,1.935,41.343,94355.910,Rch_005
221,1335259644.823,-3186061.602,1.935,41.343,94355.910,Rch_005
222,1335259644.823,-3186061.602,1.935,41.340,94355.910,Rch_005
223,1335466854.871,-3186061.602,1.935,41.340,94355.910,Rch_005
224,1335466854.871,-3186061.602,1.935,41.340,92051.542,Rch_005
225,1335466854.871,-3186061.602,1.941,41.340,92051.542,Rch_005
226,1335466854.871,-3186061.602,1.941,41.340,92051.542,Rch_005
227,1335466854.871,-3186061.602,1.941,41.338,92051.542,Rch_005
228,1335466854.871,-3189652.512,1.941,41.338,92051.542,Rch_005
229,1335466854.871,-3189652.512,1.913,41.338,92051.542,Rch_005
230,1335466854.871,-3189652.512,1.913,41.337,92051.542,Rch_005
231,1335466854.871,-3189652.512,1.909,41.337,92051.542,Rch_005
232,1335466854.871,-3189652.512,1.923,41.337,92051.542,Rch_005
233,1335466854.871,-3189652.512,1.923,41.337,107399.598,Rch_005
234,1335466854.871,-3189652.512,1.941,41.337,107399.598,Rch_005
235,1335466854.871,-3189652.512,1.941,41.337,109339.115,Rch_005
236,1335466854.871,-3189652.512,1.942,41.337,109339.115,Rch_005
237,1334166579.596,-3189652.512,1.942,41.337,109339.115,Rch_005
238,1334166579.596,-3189652.512,1.942,41.333,109339.115,Rch_005
239,1334166579.596,-3189652.512,1.916,41.333,109339.115,Rch_005
240,1334098936.085,-3189652.512,1.916,41.333,109339.115,Rch_005
241,1334098936.085,-3189652.512,1.927,41.333,109339.115,Rch_005
242,1334098936.085,-3189652.512,1.927,41.333,102146.241,Rch_005
243,1334098936.085,-3189652.512,1.927,41.335,102146.241,Rch_005
244,1332900761.619,-3189652.512,1.927,41.335,102146.241,Rch_005
245,1332900761.619,-3189652.512,1.927,41.336,102146.241,Rch_005
246,1332900761.619,-3189652.512,1.927,41.333,102146.241,Rch_005
247,1330676333.003,-3189652.512,1.927,41.333,102146.241,Rch_005
248,1330676333.003,-3162946.700,1.927,41.333,102146.241,Rch_005
249,1330676333.003,-3162946.700,1.927,41.329,102146.241,Rch_005
250,1327332467.654,-3162946.700,1.927,41.329,102146.241,Rch_005
251,1327332467.654,-3162946.700,1.927,41.327,102146.241,Rch_005
252,1327332467.654,-3162946.700,1.927,41.327,103253.894,Rch_005
253,1327332467.654,-3162946.700,1.927,41.322,103253.894,Rch_005
254,1327332467.654,-3172287.642,1.927,41.322,103253.894,Rch_005
255,1327332467.654,-3172287.642,1.927,41.319,103253.894,Rch_005
256,1327332467.654,-3172287.642,1.923,41.319,103253.894,Rch_005
257,1327332467.654,-3172287.642,1.923,41.323,103253.894,Rch_005
258,1327332467.654,-3172287.642,1.923,41.323,109255.948,Rch_005
259,1327332467.654,-3172287.642,1.919,41.323,109255.948,Rch_005
260,1327332467.654,-3172287.642,1.919,41.318,109255.948,Rch_005
261,1326820974.895,-3172287.642,1.919,41.318,109255.948,Rch_005
262,1326820974.895,-3172287.642,1.919,41.316,109255.948,Rch_005
263,1326820974.895,-3172287.642,1.919,41.319,109255.948,Rch_005
264,1325684121.035,-3172287.642,1.919,41.319,109255.948,Rch_005
265,1325684121.035,-3149672.228,1.919,41.319,109255.948,Rch_005
266,1325684121.035,-3149672.228,1.919,41.316,109255.948,Rch_005
267,1325684121.035,-3157751.519,1.919,41.316,109255.948,Rch_005
268,1325684121.035,-3157751.519,1.919,41.312,109255.948,Rch_005
269,1325684121.035,-3158695.092,1.919,41.312,109255.948,Rch_005
270,1325684121.035,-3158695.092,1.919,41.310,109255.948,Rch_005
271,1325684121.035,-3158695.092,1.919,41.306,109255.948,Rch_005
272,1325684121.035,-3158695.092,1.919,41.306,109255.948,Rch_005
273,1325684121.035,-3158695.092,1.919,41.306,106814.206,Rch_005
274,1325684121.035,-3158695.092,1.919,41.307,106814.206,Rch_005
275,1325684121.035,-3158695.092,1.919,41.306,106814.206,Rch_005
276,1325684121.035,-3158695.092,1.919,41.306,110349.763,Rch_005
277,1325684121.035,-3158695.092,1.919,41.306,110349.763,Rch_005
278,1326584689.386,-3158695.092,1.919,41.306,110349.763,Rch_005
279,1326584689.386,-3158695.092,1.923,41.306,110349.763,Rch_005
280,1326584689.386,-3158695.092,1.923,41.306,104415.278,Rch_005
281,1326584689.386,-3158695.092,1.923,41.308,104415.278,Rch_005
282,1326584689.386,-3158695.092,1.921,41.308,104415.278,Rch_005
283,1326584689.386,-3158695.092,1.921,41.312,104415.278,Rch_005
284,1326584689.386,-3158695.092,1.921,41.313,104415.278,Rch_005
285,1326584689.386,-3158695.092,1.921,41.318,104415.278,Rch_005
286,1326584689.386,-3158695.092,1.921,41.314,104415.278,Rch_005
287,1326584689.386,-3158695.092,1.921,41.315,104415.278,Rch_005
288,1326584689.386,-3158695.092,1.913,41.315,104415.278,Rch_005
289,1326584689.386,-3158695.092,1.913,41.318,104415.278,Rch_005
290,1326584689.386,-3158695.092,1.929,41.318,104415.278,Rch_005
291,1326584689.386,-3158695.092,1.929,41.321,104415.278,Rch_005
292,1326584689.386,-3158695.092,1.933,41.321,104415.278,Rch_005
293,1326584689.386,-3158695.092,1.933,41.321,107926.190,Rch_005
294,1326584689.386,-3158695.092,1.933,41.321,107926.190,Rch_005
295,1326584689.386,-3158695.092,1.933,41.322,107926.190,Rch_005
296,1326584689.386,-3158695.092,1.912,41.322,107926.190,Rch_005
297,1327732342.954,-3158695.092,1.912,41.322,107926.190,Rch_005
